planet_name,planet_type,host_star_name,star_id,spectral_type,mass_multiplier,mass_wrt,orbital_period_days,radius_wrt,radius_multiplier,distance,discovery_year,planet_id
Kepler-77 b,Gas Giant,Kepler-77,3084,G5 V,0.43,Jupiter,3.57878087,Jupiter,0.96,2086.0,2013,2058
TOI-2081 b,Super Earth,TOI-2081,977,M1.0,4.82,Earth,10.50534,Earth,2.04,203.0,2022,2059
HD 80606 b,Gas Giant,HD 80606,2571,G5,4.38,Jupiter,111.4367,Jupiter,1.07,217.0,2001,2060
HATS-30 b,Gas Giant,HATS-30,3266,G,0.706,Jupiter,3.1743516,Jupiter,1.175,1116.0,2016,2061
GJ 436 b,Neptune-like,GJ 436,647,M2.5 V,22.1,Earth,2.64388312,Jupiter,0.372,32.0,2004,2062
Kepler-1205 b,Super Earth,Kepler-1205,2637,,2.57,Earth,1.07839035,Earth,1.41,2278.0,2016,2063
Kepler-290 b,Neptune-like,Kepler-290,1487,,5.69,Earth,14.589347,Jupiter,0.201,2266.0,2014,2064
TOI-1246 c,Super Earth,TOI-1246,1967,K V,8.8,Earth,5.904137,Jupiter,0.224,553.0,2022,2065
Kepler-37 b,Super Earth,Kepler-37,3258,,3.1783,Earth,13.36702,Earth,0.296,209.0,2013,2066
Kepler-1885 b,Super Earth,Kepler-1885,3194,,2.89,Earth,2.52255988,Earth,1.511,2670.0,2021,2067
HATS-29 b,Gas Giant,HATS-29,2756,G,0.653,Jupiter,4.6058749,Jupiter,1.251,1154.0,2016,2068
Kepler-1898 b,Terrestrial,Kepler-1898,2209,,0.76,Earth,4.76562023,Earth,0.934,1177.0,2021,2069
HD 181433 c,Gas Giant,HD 181433,886,K3 IV,0.64,Jupiter,962.0,Jupiter,1.26,88.0,2008,2070
HD 180902 b,Gas Giant,HD 180902,873,K0 III/IV,1.685,Jupiter,510.9,Jupiter,1.2,341.0,2009,2071
HIP 105854 b,Gas Giant,HIP 105854,186,K2 III,8.2,Jupiter,184.2,Jupiter,1.12,257.0,2014,2072
Kepler-192 d,Super Earth,Kepler-192,2598,,1.04,Earth,6.47027579,Earth,1.02,2126.0,2016,2073
HD 76920 b,Gas Giant,HD 76920,1208,K1 III,3.93,Jupiter,415.891,Jupiter,1.16,600.0,2017,2074
TOI-776 b,Super Earth,TOI-776,1641,M1 V,4.0,Earth,8.24662,Earth,1.85,89.0,2020,2075
HAT-P-7 b,Gas Giant,HAT-P-7,2341,,1.84,Jupiter,2.20474,Jupiter,1.51,1113.0,2008,2076
KELT-16 b,Gas Giant,KELT-16,3623,F7 V,2.75,Jupiter,0.9689951,Jupiter,1.415,1450.0,2017,2077
HD 23472 c,Super Earth,HD 23472,2192,K4 V,3.41,Earth,29.79749,Earth,1.87,127.0,2019,2078
HD 10180 g,Neptune-like,HD 10180,742,G1 V,21.4,Earth,604.67,Jupiter,0.438,127.0,2010,2079
Kepler-147 c,Neptune-like,Kepler-147,2251,,6.48,Earth,33.416423,Jupiter,0.217,3399.0,2014,2080
K2-131 b,Super Earth,K2-131,2145,,6.3,Earth,0.3693038,Earth,1.5,497.0,2017,2081
HD 152079 b,Gas Giant,HD 152079,2290,G6 V,2.661,Jupiter,2918.92,Jupiter,1.18,287.0,2009,2082
KOI-94 c,Neptune-like,KOI-94,3689,,15.6,Earth,10.423648,Jupiter,0.385,1556.0,2013,2083
HD 39194 d,Super Earth,HD 39194,1613,K0 V,4.0,Earth,33.91,Earth,1.83,86.0,2021,2084
OGLE-2017-BLG-0406L b,Gas Giant,OGLE-2017-BLG-0406L,2602,,0.41,Jupiter,,Jupiter,1.27,16962.0,2020,2085
Kepler-1411 b,Neptune-like,Kepler-1411,2889,,8.35,Earth,86.1150888,Jupiter,0.252,5416.0,2016,2086
Kepler-989 b,Neptune-like,Kepler-989,1259,,5.52,Earth,7.96431535,Earth,2.21,1605.0,2016,2087
TOI-421 b,Neptune-like,TOI-421,2415,G9 V,7.17,Earth,5.197576,Jupiter,0.239,244.0,2020,2088
Kepler-1007 b,Super Earth,Kepler-1007,1805,,2.67,Earth,5.18500207,Earth,1.44,1191.0,2016,2089
HD 210277 b,Gas Giant,HD 210277,3814,G0 V,1.29,Jupiter,442.19,Jupiter,1.22,69.0,1998,2090
Kepler-947 b,Neptune-like,Kepler-947,2774,,5.82,Earth,26.9644317,Jupiter,0.203,5646.0,2016,2091
Kepler-329 b,Super Earth,Kepler-329,549,,2.54,Earth,7.416397,Earth,1.4,1434.0,2014,2092
Kepler-501 b,Neptune-like,Kepler-501,498,,17.1,Earth,5.64067757,Jupiter,0.384,3671.0,2016,2093
OGLE-2019-BLG-0468L b,Gas Giant,OGLE-2019-BLG-0468L,2665,G,3.43,Jupiter,,Jupiter,1.17,14353.0,2022,2094
Kepler-174 b,Super Earth,Kepler-174,2403,,4.5,Earth,13.98179,Earth,1.96,1255.0,2014,2095
Kepler-750 b,Neptune-like,Kepler-750,2300,,9.64,Earth,9.42887179,Jupiter,0.274,4228.0,2016,2096
Kepler-263 b,Neptune-like,Kepler-263,792,,7.61,Earth,16.568087,Jupiter,0.238,2462.0,2014,2097
Kepler-1121 b,Super Earth,Kepler-1121,550,,4.31,Earth,13.15141081,Earth,1.91,1572.0,2016,2098
Kepler-1532 b,Super Earth,Kepler-1532,3279,,2.39,Earth,1.09366356,Earth,1.35,2604.0,2016,2099
Kepler-65 d,Super Earth,Kepler-65,2656,,4.14,Earth,8.13123,Earth,1.52,991.0,2012,2100
WASP-23 b,Gas Giant,WASP-23,1315,,0.884,Jupiter,2.9444256,Jupiter,0.962,677.0,2010,2101
OGLE-TR-56 b,Gas Giant,OGLE-TR-56,608,F8 V,1.39,Jupiter,1.2119189,Jupiter,1.363,923.0,2002,2102
Kepler-1564 b,Super Earth,Kepler-1564,3381,,2.76,Earth,18.0540381,Earth,1.47,2965.0,2016,2103
Kepler-1780 b,Neptune-like,Kepler-1780,3746,,12.7,Earth,109.4449997,Jupiter,0.322,2579.0,2021,2104
Kepler-205 c,Super Earth,Kepler-205,3737,M1 V,3.33,Earth,20.306546,Earth,1.64,521.0,2014,2105
HD 9446 b,Gas Giant,HD 9446,1684,G5 V,0.7,Jupiter,30.052,Jupiter,1.25,164.0,2009,2106
Kepler-1016 c,Neptune-like,Kepler-1016,639,,13.1,Earth,105.6551369,Jupiter,0.328,4576.0,2016,2107
HR 858 c,Super Earth,HR 858,3001,F6 V,4.42,Earth,5.97293,Earth,1.939,104.0,2019,2108
HD 133131 A b,Gas Giant,HD 133131 A,477,G2 V,1.42,Jupiter,649.0,Jupiter,1.21,168.0,2016,2109
GJ 180 b,Neptune-like,GJ 180,2486,M2 V,6.49,Earth,17.133,Jupiter,0.217,39.0,2014,2110
Kepler-1483 b,Super Earth,Kepler-1483,2807,,2.92,Earth,9.5085156,Earth,1.52,4155.0,2016,2111
Kepler-265 c,Neptune-like,Kepler-265,802,,7.41,Earth,17.028937,Jupiter,0.235,4176.0,2014,2112
Kepler-1015 b,Neptune-like,Kepler-1015,1982,,12.3,Earth,16.00494214,Jupiter,0.317,2412.0,2016,2113
OGLE-2012-BLG-0026L b,Gas Giant,OGLE-2012-BLG-0026L,3829,G5 V,0.145,Jupiter,,Jupiter,0.688,13110.0,2012,2114
K2-32 c,Neptune-like,K2-32,3227,G9 V,8.1,Earth,20.66093,Jupiter,0.28,514.0,2016,2115
K2-54 b,Super Earth,K2-54,1622,,1.6,Earth,9.7833,Earth,1.15,571.0,2016,2116
HD 34445 g,Gas Giant,HD 34445,1783,G0 V,0.38,Jupiter,5700.0,Jupiter,1.21,150.0,2017,2117
HATS-42 b,Gas Giant,HATS-42,108,,1.88,Jupiter,2.292102,Jupiter,1.4,2611.0,2018,2118
Kepler-296 e,Super Earth,Kepler-296,771,M2 V,2.96,Earth,34.14211,Earth,1.53,545.0,2014,2119
TOI-544 b,Super Earth,TOI-544,996,,4.78,Earth,1.548352,Earth,2.03,134.0,2022,2120
Kepler-371 c,Super Earth,Kepler-371,706,,3.82,Earth,67.968015,Earth,1.78,2653.0,2014,2121
Kepler-1245 c,Super Earth,Kepler-1245,2376,,2.67,Earth,2.93658468,Earth,1.44,2629.0,2016,2122
Kepler-806 b,Super Earth,Kepler-806,3413,,1.55,Earth,8.09219642,Earth,1.14,1181.0,2016,2123
K2-165 d,Neptune-like,K2-165,3334,,7.5,Earth,14.101361,Jupiter,0.236,439.0,2018,2124
Kepler-1451 b,Neptune-like,Kepler-1451,1140,,11.2,Earth,35.622233,Jupiter,0.299,3454.0,2016,2125
NGTS-23 b,Gas Giant,NGTS-23,1949,F9 V,0.613,Jupiter,4.0764326,Jupiter,1.267,3506.0,2022,2126
Kepler-842 b,Super Earth,Kepler-842,995,,3.19,Earth,1.21956827,Earth,1.6,1738.0,2016,2127
Kepler-607 b,Terrestrial,Kepler-607,359,,0.59,Earth,0.6381632,Earth,0.87,1693.0,2016,2128
OGLE-2014-BLG-1722L c,Gas Giant,OGLE-2014-BLG-1722L,1927,,0.263,Jupiter,,Jupiter,0.978,20877.0,2018,2129
TOI-1695 b,Neptune-like,TOI-1695,1287,M1 V,5.5,Earth,3.1342791,Earth,2.03,147.0,2022,2130
Kepler-210 c,Neptune-like,Kepler-210,714,M0 V,12.8,Earth,7.972513,Jupiter,0.323,759.0,2014,2131
MOA-2009-BLG-266L b,Neptune-like,MOA-2009-BLG-266L,1224,,10.4,Earth,2800.0,Jupiter,0.286,9916.0,2011,2132
K2-136 d,Super Earth,K2-136,3890,K5.5,2.7,Earth,25.575,Earth,1.45,193.0,2017,2133
HD 40307 g,Neptune-like,HD 40307,2617,K2.5 V,7.1,Earth,197.8,Jupiter,0.229,42.0,2013,2134
Kepler-200 c,Super Earth,Kepler-200,2387,,3.15,Earth,10.222157,Earth,1.59,2172.0,2014,2135
HD 12661 c,Gas Giant,HD 12661,2539,K0,1.812,Jupiter,1708.0,Jupiter,1.2,123.0,2002,2136
Kepler-1733 b,Neptune-like,Kepler-1733,2765,,12.8,Earth,9.22957993,Jupiter,0.324,6787.0,2021,2137
HD 156098 c,Gas Giant,HD 156098,2799,,5.22768,Jupiter,7841.5839,Jupiter,1.14,157.0,2022,2138
Kepler-431 c,Terrestrial,Kepler-431,3151,,0.229,Earth,8.703,Earth,0.668,1587.0,2015,2139
HAT-P-34 b,Gas Giant,HAT-P-34,1768,,3.33,Jupiter,5.452654,Jupiter,1.197,813.0,2011,2140
Kepler-277 c,Gas Giant,Kepler-277,1815,,0.202,Jupiter,33.006,Jupiter,0.3,3186.0,2013,2141
HD 143361 b,Gas Giant,HD 143361,2234,G6 V,3.532,Jupiter,1039.15,Jupiter,1.16,223.0,2008,2142
TOI-2337 b,Gas Giant,TOI-2337,2103,,1.6,Jupiter,2.99432,Jupiter,0.9,1749.0,2022,2143
K2-317 b,Neptune-like,K2-317,2020,,8.91,Earth,6.22,Jupiter,0.261,575.0,2020,2144
WASP-99 b,Gas Giant,WASP-99,1954,F8,2.43,Jupiter,5.75251,Jupiter,1.02,518.0,2014,2145
GJ 433 d,Neptune-like,GJ 433,2127,M2V,5.223,Earth,36.059,Earth,2.14,30.0,2020,2146
HD 95086 b,Gas Giant,HD 95086,2855,A8 III,5.0,Jupiter,,Jupiter,1.15,281.0,2013,2147
OGLE-2019-BLG-1470L AB c,Gas Giant,OGLE-2019-BLG-1470L A,1881,,2.2,Jupiter,,Jupiter,1.19,19246.0,2022,2148
HD 148164 c,Gas Giant,HD 148164,1959,F8,5.16,Jupiter,5062.0,Jupiter,1.15,252.0,2018,2149
Kepler-1332 b,Super Earth,Kepler-1332,3759,,2.45,Earth,11.87456832,Earth,1.37,1725.0,2016,2150
Kepler-1167 b,Super Earth,Kepler-1167,3166,,3.57,Earth,1.00393374,Earth,1.71,2678.0,2016,2151
HIP 65407 c,Gas Giant,HIP 65407,1997,K0,0.784,Jupiter,67.3,Jupiter,1.24,202.0,2016,2152
HIP 67522 b,Gas Giant,HIP 67522,799,G1 V,0.228,Jupiter,6.9594731,Jupiter,0.898,415.0,2020,2153
HD 159868 c,Gas Giant,HD 159868,1395,G5 V,0.768,Jupiter,351.0,Jupiter,1.25,182.0,2012,2154
WASP-48 b,Gas Giant,WASP-48,104,,0.8,Jupiter,2.14363,Jupiter,1.5,1481.0,2011,2155
Kepler-946 b,Super Earth,Kepler-946,1856,,4.38,Earth,11.79162572,Earth,1.93,3710.0,2016,2156
Kepler-555 b,Neptune-like,Kepler-555,2047,,8.4,Earth,16.21775407,Jupiter,0.252,3174.0,2016,2157
K2-384 f,Neptune-like,K2-384,1071,M4 V,5.57,Earth,13.62749,Earth,2.222,270.0,2022,2158
HD 216435 b,Gas Giant,HD 216435,1793,G0 V,1.26,Jupiter,1311.0,Jupiter,1.22,108.0,2002,2159
Kepler-1900 b,Super Earth,Kepler-1900,2834,,3.27,Earth,2.9862299,Earth,1.623,5025.0,2021,2160
Kepler-300 b,Super Earth,Kepler-300,3000,,3.43,Earth,10.446347,Earth,1.67,3583.0,2014,2161
TYC 1422-614-1 c,Gas Giant,TYC 1422-614-1,2747,,10.0,Jupiter,559.3,Jupiter,1.11,2193.0,2014,2162
K2-111 b,Super Earth,K2-111,3944,G2,5.29,Earth,5.3518,Earth,1.82,654.0,2017,2163
HATS-74 A b,Gas Giant,HATS-74 A,2663,,1.46,Jupiter,1.73185606,Jupiter,1.032,977.0,2021,2164
K2-160 b,Neptune-like,K2-160,3260,,10.2,Earth,3.705871,Jupiter,0.284,1029.0,2018,2165
WASP-123 b,Gas Giant,WASP-123,1732,G5,0.899,Jupiter,2.9776412,Jupiter,1.318,646.0,2016,2166
Kepler-384 b,Super Earth,Kepler-384,2041,,1.46,Earth,22.597053,Earth,1.12,2922.0,2014,2167
Kepler-1530 c,Super Earth,Kepler-1530,3038,,3.36,Earth,5.3227406,Earth,1.65,1598.0,2016,2168
HD 103891 b,Gas Giant,HD 103891,2333,F9,1.44,Jupiter,1919.0,Jupiter,1.21,181.0,2022,2169
HAT-P-69 b,Gas Giant,HAT-P-69,1481,,3.58,Jupiter,4.7869491,Jupiter,1.676,1113.0,2019,2170
HD 23472 e,Terrestrial,HD 23472,2192,K4 V,0.72,Earth,7.90754,Earth,0.818,127.0,2022,2171
WASP-186 b,Gas Giant,WASP-186,530,,4.22,Jupiter,5.026799,Jupiter,1.11,909.0,2020,2172
K2-125 b,Neptune-like,K2-125,3199,,5.39,Earth,21.750264,Earth,2.18,405.0,2017,2173
Kepler-665 b,Neptune-like,Kepler-665,2786,,7.27,Earth,16.01310205,Jupiter,0.232,1999.0,2016,2174
K2-233 d,Super Earth,K2-233,3621,K3,21.14,Earth,24.3645,Jupiter,0.21,220.0,2018,2175
Kepler-150 b,Super Earth,Kepler-150,3751,,2.1,Earth,3.428054,Earth,1.25,2907.0,2014,2176
Kepler-122 c,Neptune-like,Kepler-122,1379,,29.0,Earth,12.465988,Jupiter,0.524,3352.0,2014,2177
Kepler-1124 b,Super Earth,Kepler-1124,3109,,2.18,Earth,2.85234897,Earth,1.28,946.0,2016,2178
Kepler-1605 b,Super Earth,Kepler-1605,1254,,1.28,Earth,85.7565495,Earth,1.08,1782.0,2016,2179
Kepler-104 d,Neptune-like,Kepler-104,2032,,12.5,Earth,51.755394,Jupiter,0.319,1307.0,2014,2180
K2-384 b,Super Earth,K2-384,1071,M4 V,1.26,Earth,2.231527,Earth,1.076,270.0,2022,2181
TOI-411 c,Neptune-like,HD 22946,1341,F7/F8V,7.95,Earth,9.573083,Jupiter,0.244,205.0,2022,2182
Kepler-1817 b,Neptune-like,Kepler-1817,3838,,5.79,Earth,44.29919815,Jupiter,0.203,2442.0,2021,2183
Kepler-1139 b,Super Earth,Kepler-1139,2537,,1.81,Earth,0.81316672,Earth,1.19,1615.0,2016,2184
OGLE-2005-BLG-390L b,Neptune-like,OGLE-2005-BLG-390L,703,,5.5,Earth,3285.0,Earth,2.21,21529.0,2005,2185
HIP 5763 b,Gas Giant,HIP 5763,3662,K6 V,0.51,Jupiter,30.014,Jupiter,1.27,104.0,2021,2186
HD 290327 b,Gas Giant,HD 290327,1863,G8 V,2.43,Jupiter,2443.0,Jupiter,1.18,184.0,2009,2187
Kepler-1487 b,Neptune-like,Kepler-1487,1125,,5.18,Earth,7.31946363,Earth,2.13,3310.0,2016,2188
K2-138 f,Terrestrial,K2-138,2262,G8 V,1.63,Earth,12.75758,Jupiter,0.259,661.0,2017,2189
Kepler-34 b,Gas Giant,Kepler-34,76,,0.22,Jupiter,288.822,Jupiter,0.764,5874.0,2011,2190
Kepler-346 c,Neptune-like,Kepler-346,3407,,9.64,Earth,23.851549,Jupiter,0.274,3210.0,2014,2191
Kepler-82 f,Neptune-like,Kepler-82,1472,,20.9,Earth,75.732,Jupiter,0.432,2950.0,2019,2192
Kepler-1144 b,Super Earth,Kepler-1144,3432,,4.62,Earth,17.14647302,Earth,1.99,3721.0,2016,2193
HATS-24 b,Gas Giant,HATS-24,2701,F V,2.26,Jupiter,1.3484978,Jupiter,1.395,1612.0,2017,2194
CoRoT-21 b,Gas Giant,CoRoT-21,3335,F8 IV,2.26,Jupiter,2.72474,Jupiter,1.3,4563.0,2012,2195
Kepler-119 c,Terrestrial,Kepler-119,2205,,0.721,Earth,4.125103,Earth,0.92,2290.0,2014,2196
Kepler-223 e,Neptune-like,Kepler-223,3650,,4.8,Earth,19.72567,Jupiter,0.41,6066.0,2014,2197
KMT-2019-BLG-0842L b,Neptune-like,KMT-2019-BLG-0842L,2578,,10.28,Earth,,Jupiter,0.284,10830.0,2020,2198
HD 86081 b,Gas Giant,HD 86081,754,F8,1.48,Jupiter,2.1378431,Jupiter,1.21,339.0,2006,2199
Kepler-532 b,Neptune-like,Kepler-532,1577,,7.13,Earth,12.92491623,Jupiter,0.229,1020.0,2016,2200
HD 20781 e,Neptune-like,HD 20781,3584,K0 V,14.03,Earth,85.5073,Jupiter,0.342,117.0,2019,2201
LSPM J2116+0234 b,Neptune-like,LSPM J2116+0234,3304,M3.0 V,13.3,Earth,14.4399,Jupiter,0.331,58.0,2019,2202
Kepler-658 b,Super Earth,Kepler-658,3269,,3.29,Earth,1.28707676,Earth,1.63,1267.0,2016,2203
Kepler-1109 b,Neptune-like,Kepler-1109,891,,5.43,Earth,37.6467384,Earth,2.19,2235.0,2016,2204
Kepler-1808 b,Neptune-like,Kepler-1808,3555,,9.4,Earth,23.3404007,Jupiter,0.27,3334.0,2021,2205
GJ 1148 c,Gas Giant,GJ 1148,752,M5,0.21414,Jupiter,532.58,Jupiter,0.866,36.0,2017,2206
HD 190360 b,Gas Giant,HD 190360,3164,G V,1.8,Jupiter,2854.0,Jupiter,1.2,52.0,2003,2207
HD 21693 b,Neptune-like,HD 21693,1735,G8 V,8.23,Earth,22.6786,Jupiter,0.25,108.0,2019,2208
Kepler-197 e,Terrestrial,Kepler-197,2582,,0.693,Earth,25.209715,Earth,0.91,1078.0,2014,2209
OGLE-2017-BLG-0482L b,Neptune-like,OGLE-2017-BLG-0482L,282,,9.0,Earth,,Jupiter,0.263,18920.0,2018,2210
HD 111591 b,Gas Giant,HD 111591,1984,K0 III,4.4,Jupiter,1056.4,Jupiter,1.15,372.0,2017,2211
HAT-P-24 b,Gas Giant,HAT-P-24,638,F8,0.75,Jupiter,3.35524,Jupiter,1.3,1355.0,2010,2212
Kepler-24 d,Super Earth,Kepler-24,2520,,3.43,Earth,4.244384,Earth,1.67,3774.0,2014,2213
CoRoT-11 b,Gas Giant,CoRoT-11,2016,F6 V,2.33,Jupiter,2.99433,Jupiter,1.43,2137.0,2010,2214
K2-159 b,Neptune-like,K2-159,3289,,5.73,Earth,12.42205,Jupiter,0.202,558.0,2018,2215
HD 4113 b,Gas Giant,HD 4113,2357,G5,1.70781,Jupiter,526.5239,Jupiter,1.2,137.0,2007,2216
Kepler-647 c,Neptune-like,Kepler-647,132,,15.1,Earth,29.6663,Jupiter,0.357,3549.0,2020,2217
HAT-P-65 b,Gas Giant,HAT-P-65,183,G2,0.527,Jupiter,2.60544751,Jupiter,1.89,2409.0,2016,2218
K2-295 b,Gas Giant,K2-295,1223,K5 V,0.335,Jupiter,4.024867,Jupiter,0.897,759.0,2018,2219
Kepler-339 b,Super Earth,Kepler-339,1832,,2.6,Earth,4.977656,Earth,1.42,2011.0,2014,2220
HD 285968 b,Neptune-like,HD 285968,3839,M2 V,8.4,Earth,8.7836,Jupiter,0.253,31.0,2008,2221
K2-166 b,Neptune-like,K2-166,3905,,5.43,Earth,8.52695,Earth,2.19,1556.0,2018,2222
Kepler-1432 b,Neptune-like,Kepler-1432,1734,,5.56,Earth,23.9109011,Earth,2.22,7085.0,2016,2223
Kepler-288 d,Neptune-like,Kepler-288,1909,,7.61,Earth,56.633742,Jupiter,0.238,3895.0,2014,2224
OGLE-2005-BLG-071L b,Gas Giant,OGLE-2005-BLG-071L,2278,,3.8,Jupiter,,Jupiter,1.16,10438.0,2005,2225
Kepler-1191 b,Super Earth,Kepler-1191,1355,,2.89,Earth,5.60014851,Earth,1.51,3117.0,2016,2226
Kepler-346 b,Neptune-like,Kepler-346,3407,,7.56,Earth,6.511127,Jupiter,0.237,3210.0,2014,2227
Kepler-192 b,Neptune-like,Kepler-192,2598,,7.95,Earth,9.926746,Jupiter,0.244,2126.0,2014,2228
MOA-2020-BLG-135L b,Neptune-like,MOA-2020-BLG-135L,1850,,11.3,Earth,,Jupiter,0.301,25770.0,2022,2229
Kepler-444 f,Terrestrial,Kepler-444,2073,K,0.332,Earth,9.740486,Earth,0.741,119.0,2015,2230
OGLE-2006-BLG-109L b,Gas Giant,OGLE-2006-BLG-109L,532,,0.727,Jupiter,1788.5,Jupiter,1.25,4926.0,2008,2231
Kepler-444 e,Terrestrial,Kepler-444,2073,K,0.1,Earth,7.743493,Earth,0.546,119.0,2015,2232
EPIC 212424622 b,Neptune-like,EPIC 212424622,1892,,5.35,Earth,18.0983,Earth,2.17,1996.0,2019,2233
Kepler-386 c,Super Earth,Kepler-386,2963,,3.12,Earth,25.193458,Earth,1.58,2879.0,2014,2234
TOI-2184 b,Gas Giant,TOI-2184,704,,0.65,Jupiter,6.90683,Jupiter,1.017,2571.0,2022,2235
Kepler-791 b,Neptune-like,Kepler-791,2361,,9.53,Earth,14.5539759,Jupiter,0.272,4131.0,2016,2236
OGLE-2018-BLG-1269L b,Gas Giant,OGLE-2018-BLG-1269L,365,,0.67,Jupiter,,Jupiter,1.25,8188.0,2020,2237
Kepler-1409 b,Super Earth,Kepler-1409,774,,1.12,Earth,0.76486493,Earth,1.04,2267.0,2016,2238
PH1 b,Neptune-like,PH1,486,F,0.531,Jupiter,138.317,Jupiter,0.551,3370.0,2012,2239
Kepler-961 b,Neptune-like,Kepler-961,1109,,7.04,Earth,16.87727414,Jupiter,0.227,1873.0,2016,2240
Kepler-769 c,Super Earth,Kepler-769,1503,,3.86,Earth,15.9870174,Earth,1.79,3815.0,2016,2241
Kepler-1877 b,Terrestrial,Kepler-1877,1660,,0.179,Earth,2.37756991,Earth,0.624,931.0,2021,2242
Kepler-182 b,Neptune-like,Kepler-182,368,,7.18,Earth,9.825792,Jupiter,0.23,5053.0,2014,2243
HD 181234 b,Gas Giant,HD 181234,1518,G8 IV,9.37932,Jupiter,7593.40512,Jupiter,1.12,156.0,2019,2244
TOI-1749 c,Neptune-like,TOI-1749,3169,M0 V,14.0,Earth,4.4929,Earth,2.12,325.0,2021,2245
Kepler-849 b,Gas Giant,Kepler-849,358,,0.127,Jupiter,394.62508,Jupiter,0.637,2682.0,2016,2246
OGLE-2017-BLG-1522L b,Gas Giant,OGLE-2017-BLG-1522L,1665,,0.75,Jupiter,,Jupiter,1.25,24432.0,2018,2247
HATS-32 b,Gas Giant,HATS-32,3007,,0.92,Jupiter,2.8126548,Jupiter,1.249,2431.0,2016,2248
HD 153557 d,Gas Giant,HD 153557,576,K0,27.31185,Jupiter,40654.64809,Jupiter,1.06,59.0,2022,2249
Kepler-716 c,Super Earth,Kepler-716,2553,,2.52,Earth,3.96999,Earth,1.393,2071.0,2020,2250
HD 113996 b,Gas Giant,HD 113996,2815,K5 III,6.3,Jupiter,610.2,Jupiter,1.14,379.0,2017,2251
K2-19 b,Neptune-like,K2-19,3672,G9 V,32.4,Earth,7.9222,Jupiter,0.624,945.0,2015,2252
Kepler-522 b,Gas Giant,Kepler-522,2005,,38.2,Earth,38.58422849,Jupiter,0.616,2085.0,2016,2253
WASP-94 B b,Gas Giant,WASP-94 B,3053,F9,0.618,Jupiter,2.00839,Jupiter,1.26,681.0,2014,2254
Kepler-319 b,Super Earth,Kepler-319,3444,,3.29,Earth,4.362705,Earth,1.63,1642.0,2014,2255
Kepler-1265 b,Super Earth,Kepler-1265,2793,,2.39,Earth,6.49441289,Earth,1.35,1904.0,2016,2256
Kepler-214 b,Neptune-like,Kepler-214,2742,,7.32,Earth,15.660544,Jupiter,0.233,3942.0,2014,2257
Kepler-458 c,Neptune-like,KIC 9663113,27,,16.4,Earth,20.74028413,Jupiter,0.375,5202.0,2016,2258
K2-289 b,Gas Giant,K2-289,3592,,0.192,Jupiter,13.156969,Jupiter,0.812,895.0,2019,2259
HD 20781 c,Neptune-like,HD 20781,3584,K0 V,5.33,Earth,13.8905,Earth,2.17,117.0,2019,2260
Kepler-1554 b,Neptune-like,Kepler-1554,659,,8.75,Earth,198.088774,Jupiter,0.259,3089.0,2016,2261
Kepler-793 b,Super Earth,Kepler-793,778,,2.45,Earth,4.24153639,Earth,1.37,3215.0,2016,2262
HAT-P-50 b,Gas Giant,HAT-P-50,517,F5,1.35,Jupiter,3.1220109,Jupiter,1.288,1681.0,2015,2263
WASP-181 b,Gas Giant,WASP-181,3253,G2,0.299,Jupiter,4.5195064,Jupiter,1.184,1427.0,2019,2264
CoRoT-6 b,Gas Giant,CoRoT-6,1534,F9 V,2.96,Jupiter,8.886593,Jupiter,1.166,2105.0,2009,2265
Kepler-149 b,Neptune-like,Kepler-149,1934,,16.5,Earth,29.198943,Jupiter,0.376,1863.0,2014,2266
Kepler-53 d,Neptune-like,Kepler-53,3618,,5.14,Earth,9.751962,Earth,2.12,4456.0,2014,2267
Kepler-1644 b,Super Earth,Kepler-1644,745,,4.19,Earth,21.0907758,Earth,1.88,2053.0,2016,2268
KOI-1833 d,Super Earth,Kepler-968,3729,,11.02,Earth,7.685,Jupiter,0.23,947.0,2021,2269
Kepler-1308 b,Terrestrial,Kepler-1308,958,,0.0933,Earth,2.10433812,Earth,0.52,368.0,2016,2270
Kepler-289 d,Neptune-like,Kepler-289,3863,,4.0,Earth,66.0282,Jupiter,0.239,2298.0,2014,2271
Kepler-727 b,Neptune-like,Kepler-727,2679,,6.94,Earth,5.15448442,Jupiter,0.226,2713.0,2016,2272
Kepler-562 b,Neptune-like,Kepler-562,2990,,23.7,Earth,18.00931444,Jupiter,0.465,3238.0,2016,2273
Kepler-1230 b,Neptune-like,Kepler-1230,213,,7.8,Earth,9.95661537,Jupiter,0.242,4450.0,2016,2274
K2-216 b,Super Earth,K2-216,3515,K5 V,8.0,Earth,2.1748,Earth,1.75,377.0,2018,2275
K2-158 b,Neptune-like,K2-158,826,,7.46,Earth,10.06049,Jupiter,0.236,644.0,2018,2276
Kepler-66 b,Neptune-like,Kepler-66,204,G0 V,8.25,Earth,17.815815,Jupiter,0.25,3924.0,2013,2277
Kepler-894 b,Neptune-like,Kepler-894,2112,,8.15,Earth,9.803224,Jupiter,0.248,3793.0,2016,2278
WASP-84 b,Gas Giant,WASP-84,3217,K0,0.694,Jupiter,8.52349648,Jupiter,0.942,328.0,2014,2279
K2-395 c,Neptune-like,K2-395,1286,K0,11.4,Earth,8.491282,Jupiter,0.303,935.0,2022,2280
Kepler-161 c,Super Earth,Kepler-161,1517,,11.8,Earth,7.06424,Earth,2.05,1418.0,2014,2281
